18291 18000
4
1
2
3
4
189
Syuzanna Grigoryan
ARM
35
2 17664 6
Nino Chkhaidze
GEO
23
3 7342 22
2 4730 100
2 4379 22
2 4122 22
2 2776 6
1 1162 100
3 8117 22
3 8168 22
3 8688 41
3 11107 41
3 11365 41
3 11448 41
3 12078 41
3 12425 54
3 13101 54
4 14022 0
4 14329 0
4 14591 0
4 14675 0
4 14974 0
4 15056 10
3 16379 54
3 17311 54
Gvantsa Khvedelidze
GEO
22
3 7402 12
3 7247 12
3 5950 12
2 4808 41
2 4756 0
2 4679 41
2 3256 25
2 3153 6
2 2523 0
2 2181 6
2 2068 0
1 1663 100
3 8667 12
3 9314 12
3 9419 12
4 10462 0
4 10558 10
3 14196 12
3 14475 12
3 14560 12
4 16261 30
3 17038 12
Anna Polensky
DEU
19
4 6476 10
1 5486 100
3 9133 12
3 9838 12
3 10269 12
3 10515 12
3 11270 12
3 11955 31
3 13684 31
3 14597 48
3 15033 58
3 15427 71
2 16231 6
2 17250 6
2 17525 6
2 17765 6
2 17892 6
2 17981 0
2 17964 0
Michelle Engel
DEU
21
1 7512 100
1 6460 11
1 6224 0
2 8977 0
2 9065 0
2 9297 6
2 10194 6
2 10339 6
2 10536 6
2 10649 25
3 12380 0
3 12455 0
3 12594 12
3 13367 22
3 15608 0
3 15927 22
3 16119 22
3 16293 22
3 17026 22
3 17157 22
3 17911 22
Daphne Carmesin
DEU
23
1 6615 34
3 5455 22
3 5382 0
1 1506 11
1 1473 11
1 1419 0
1 1255 0
1 964 11
2 9528 0
2 9560 0
2 10031 6
2 10256 6
2 11959 6
2 12024 6
2 12107 6
2 13472 6
4 14353 0
4 14566 0
4 14993 10
1 17558 0
1 17632 0
1 17664 11
1 17997 11
Zhuoyu Du
DEU
13
1 6915 40
1 5448 40
1 4660 0
1 8067 100
2 14218 6
4 14591 0
2 15131 6
2 15211 6
4 15498 0
4 16024 0
4 16226 10
2 17274 100
3 17870 0
Sarra Angeliki
GRC
9
2 6908 0
2 6557 0
2 6136 0
2 5821 0
2 5546 0
1 2863 11
2 10163 0
2 12182 0
2 15030 0
Karali Eleni
GRC
24
2 7675 25
2 6008 6
2 5790 0
2 5290 0
1 5161 11
1 5048 11
1 4841 11
1 4576 11
1 4561 0
1 2906 11
1 2801 0
1 2426 0
1 1525 0
1 1430 0
1 780 11
3 9150 12
3 9487 10
3 9578 22
4 12191 10
1 13025 34
1 15221 34
1 15285 34
1 16841 34
1 17238 34
Tsiopoulou Maria Eleni
GRC
15
3 7045 12
3 6819 0
2 5263 6
1 4308 34
1 4182 23
1 4119 0
1 2441 11
3 10213 0
1 13163 11
1 14138 40
1 16114 34
1 16239 23
1 16756 63
2 17890 0
2 17916 0
Csilla Fülöp
HUN
29
2 6391 6
2 5519 22
1 2388 100
3 8537 0
3 8653 22
3 9338 22
3 9439 22
3 10668 22
3 10835 22
3 11174 22
3 11262 0
3 11662 0
3 12160 22
3 12422 22
3 12545 41
2 13372 6
2 13433 22
2 13506 0
2 13648 41
4 15445 0
4 15960 0
4 16154 0
4 16238 10
2 17215 0
2 17383 0
2 17563 0
2 17642 0
2 17904 0
2 17975 0
Boglárka Nagy
HUN
16
1 7862 40
1 7258 11
1 6295 11
3 3864 12
3 3096 12
3 2648 12
3 2348 0
3 2277 0
1 8925 63
2 9553 6
2 10072 6
2 11815 25
3 15020 12
4 16807 10
3 17614 12
3 17978 12
Korina Nagy
HUN
9
3 7039 0
1 3598 11
1 1896 11
3 8784 0
3 8830 0
3 9013 12
2 10175 25
1 14004 11
1 15717 11
Zsófia Keresztély
HUN
18
2 7708 25
2 6631 25
1 2285 100
3 10353 0
3 11848 0
3 12425 0
3 12715 0
4 14034 0
4 14094 0
4 14176 10
3 14388 0
3 14786 0
2 15264 0
2 15541 0
2 15588 25
3 16907 19
3 17262 31
3 17677 41
Eva Natalía Elvarsdóttir
ISL
2
2 14903 0
1 15923 0
Eva Sóllilja Einarsdóttir
ISL
8
2 7926 6
2 7796 6
2 7389 6
2 7062 0
2 6956 0
2 9134 6
2 9306 25
1 17911 11
Sólbjört Tinna Cornette
ISL
7
2 7496 0
2 8180 0
2 8786 0
2 8956 0
2 10002 0
2 10448 0
2 10927 6
Frigg Einarsdóttir
ISL
23
1 7347 11
2 3958 6
2 3876 0
2 3263 0
2 2773 0
2 2245 0
2 1773 0
2 1722 0
2 1662 0
2 1610 0
2 1577 0
2 1552 0
2 1350 0
2 1257 0
2 1167 0
1 10246 11
2 15026 0
2 15126 0
2 15320 0
2 15581 0
2 15627 6
2 16035 6
2 16275 6
Anusha Gupta
IND
45
2 7882 19
2 7827 25
1 7260 34
1 7067 23
1 7015 23
2 5759 25
2 5486 19
2 5404 19
2 5372 19
2 4605 19
2 4422 0
2 4246 0
1 2647 11
1 2621 0
2 8035 25
2 7969 25
2 8138 41
1 8907 11
1 8949 0
1 9166 0
1 9398 40
1 9492 0
1 9547 63
3 10650 0
3 10793 0
3 10885 0
3 10947 0
3 11348 10
3 11449 10
3 11501 22
3 13011 22
3 13134 22
3 13218 22
3 13771 22
3 13886 22
3 14104 22
3 14220 22
3 14314 22
3 14922 22
